CategoryName,CategoryDescription
Electronics,Electronics gadgets and devices
Fashion,"Clothing, footwear, and accessories"
Home & Kitchen,"Home appliances, furniture, and kitchenware"
Sports,Sports equipment and outdoor gear
 Beauty,personal care and  beauty products
Toys,Kids Toys and  games
Books,"Books, magazines, and media products"
Automotive,Automotive parts and accessories
Grocery,Grocery items and gourmet food products
Pet Supplies,"Pet food, toys, and accessories"
Furniture,Furniture and home decor items
